"Row.names","https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history?&aggregateHours=24&startDateTime=2020-04-03T00:00:00&endDateTime=2020-04-03T23:59:00&unitGroup=metric&contentType=csv&location=32.53952745","-86.64408227&key=2YXV4EUUFVIXJ5Z8976N180CP","State","admin2","province_state","lat","long","combined_key","day","number_of_cases","total_cases","Abbreviation"
"1","https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history?&aggregateHours=24&startDateTime=2020-04-04T00:00:00&endDateTime=2020-04-04T23:59:00&unitGroup=metric&contentType=csv&location=32.53952745","-86.64408227&key=2YXV4EUUFVIXJ5Z8976N180CP","Alabama","Autauga","Alabama",32.53952745,-86.64408227,"Autauga, Alabama, US",2020-04-03,12,72,"AL"
"2","https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history?&aggregateHours=24&startDateTime=2020-01-24T00:00:00&endDateTime=2020-01-24T23:59:00&unitGroup=metric&contentType=csv&location=30.72774991","-87.72207058&key=2YXV4EUUFVIXJ5Z8976N180CP","Alabama","Autauga","Alabama",32.53952745,-86.64408227,"Autauga, Alabama, US",2020-04-04,12,84,"AL"
